MONTH,PSCC2022,COMMODITY DESCRIPTION,UNIT,COUNTRY CODE,COUNTRY OF DESTINATION,GROSS KILO (in kg),QUANTITY (various),FREE_ON_BOARD,INSURANCE (in USD),FREIGHT (in USD)
01,0105111000,- - - Breeding fowls,No,108,BRUNEI DARUSSALAM,242.00,"3,630.00","18,376.00",0.00,0.00
01,0105921001,- - - Breeding fowls | Hens,No,892,VIETNAM,80.00,50.00,626.00,0.00,0.00
01,0106200002,- Reptiles (including snakes and turtles) | Turtles,Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"43,400.00","43,400.00","42,400.00",0.00,0.00
01,0106200002,- Reptiles (including snakes and turtles) | Turtles,Gross kg,168,TAIWAN (REP. OF CHINA),"9,700.00","9,700.00","13,500.00",0.00,0.00
01,0106320000,"- - Psittaciformes (including parrots, parakeets, macaws an cockatoos) | - - Psittaciformes (including parrots, parakeets, macaws and cockatoos)",No,168,TAIWAN (REP. OF CHINA),70.00,16.00,"1,600.00",0.00,0.00
01,0106320000,"- - Psittaciformes (including parrots, parakeets, macaws an cockatoos) | - - Psittaciformes (including parrots, parakeets, macaws and cockatoos)",No,624,"PAKISTAN, ISLAMIC REP. OF",80.00,540.00,"1,620.00",0.00,0.00
01,0106320000,"- - Psittaciformes (including parrots, parakeets, macaws an cockatoos) | - - Psittaciformes (including parrots, parakeets, macaws and cockatoos)",No,720,SINGAPORE,60.00,9.00,"1,170.00",0.00,0.00
01,0106320000,"- - Psittaciformes (including parrots, parakeets, macaws an cockatoos) | - - Psittaciformes (including parrots, parakeets, macaws and cockatoos)",No,780,THAILAND,320.00,80.00,"34,180.00",0.00,0.00
01,0106909007,- Other | Butterflies,No,128,CANADA,18.00,"7,637.00","3,436.00",0.00,0.00
01,0106909007,- Other | Butterflies,No,592,NEW ZEALAND,12.00,"5,190.00","1,616.00",0.00,0.00
01,0106909007,- Other | Butterflies,No,720,SINGAPORE,2.00,800.00,240.00,0.00,0.00
01,0106909007,- Other | Butterflies,No,820,RUSSIAN FEDERATION,4.00,"1,155.00",208.00,0.00,0.00
01,0106909007,- Other | Butterflies,No,836,"UNITED ARAB EMIRATES, N.E.S.",20.00,"8,000.00","1,611.00",0.00,0.00
01,0106909007,- Other | Butterflies,No,856,UK OF GREAT BRITAIN AND N. IRELAND,9.00,"5,800.00","1,725.00",0.00,0.00
01,0106909007,- Other | Butterflies,No,860,UNITED STATES OF AMERICA,5.00,"2,114.00","1,243.00",0.00,0.00
01,0207149001,- - - Other | Cuts,Net kg,412,JAPAN,"181,873.00","172,779.00","616,337.00",0.00,0.00
01,0210199009,- - - Other | Other,Net kg ,836,"UNITED ARAB EMIRATES, N.E.S.","4,597.00","3,284.00","9,966.00",0.00,0.00
01,0301102000,"- - Other, marine fish",Gross kg,036,AUSTRALIA,"3,300.00","3,300.00","1,846.00",0.00,0.00
01,0301102000,"- - Other, marine fish",Gross kg,064,BELGIUM,"1,400.00","1,400.00","1,116.00",0.00,0.00
01,0301102000,"- - Other, marine fish",Gross kg,108,BRUNEI DARUSSALAM,"1,000.00","1,000.00",290.00,0.00,0.00
01,0301102000,"- - Other, marine fish",Gross kg,128,CANADA,"19,450.00","19,450.00","12,932.00",0.00,0.00
01,0301102000,"- - Other, marine fish",Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"77,250.00","77,250.00","40,725.00",0.00,0.00
01,0301102000,"- - Other, marine fish",Gross kg,168,TAIWAN (REP. OF CHINA),"68,600.00","68,600.00","71,389.00",0.00,0.00
