MONTH,PSCC2022,COMMODITY_DESCRIPTION,UNIT,COUNTRY CODE,COUNTRY OF DESTINATION,GROSS KILO (in kg),QUANTITY (various),FREE_ON_BOARD,INSURANCE (in USD),FREIGHT (in USD)
01,0106200002,- Reptiles (including snakes and turtles)  |  Turtles,Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"8,300","8,300","15,000",0,0
01,0106200002,- Reptiles (including snakes and turtles)  |  Turtles,Gross kg,168,TAIWAN (REP. OF CHINA),"4,600","4,600","39,000",0,0
01,0106490001,- Insects :  |  - - Other  |  Butterflies,No.,128,CANADA,7,"3,801","2,313",0,0
01,0106490001,- Insects :  |  - - Other  |  Butterflies,No.,720,SINGAPORE,4,"3,400","1,360",0,0
01,0106490001,- Insects :  |  - - Other  |  Butterflies,No.,836,"UNITED ARAB EMIRATES, N.E.S.",23,"9,000","1,098",0,0
01,0106490001,- Insects :  |  - - Other  |  Butterflies,No.,844,QATAR,1,500,60,0,0
01,0106490001,- Insects :  |  - - Other  |  Butterflies,No.,856,UK OF GREAT BRITAIN AND N. IRELAND,22,"9,000","1,098",0,0
01,0106490001,- Insects :  |  - - Other  |  Butterflies,No.,860,UNITED STATES OF AMERICA,12,"6,430","1,929",0,0
01,0207120002,"- Of fowls of the species Gallus domesticus :  |  - - Not cut in pieces, frozen :  |  - - - B. Out-Quota",Net kg,412,JAPAN,"56,606","49,110","177,186",0,0
01,0207149100,"- Of fowls of the species Gallus domesticus :  |  - - Cuts and offal, frozen :  |  - - - Other :  |  - - - - Mechanically deboned or separated meat",Net kg,412,JAPAN,"12,942","12,168","29,203",0,0
01,0207149901,"- Of fowls of the species Gallus domesticus :  |  - - Cuts and offal, frozen :  |  - - - Other :  |  - - - - Other :  |  - - - - - A. In-Quota",Net kg,412,JAPAN,"46,414","36,846","161,834",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,032,ARGENTINA,900,900,"1,191",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,036,AUSTRALIA,"3,400","3,400","1,883",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,128,CANADA,"15,675","15,675","13,843",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"18,600","18,600","77,938",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,168,TAIWAN (REP. OF CHINA),"21,000","21,000","18,186",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,204,CYPRUS,"1,000","1,000",704,0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,268,FRANCE,"2,900","2,900","3,892",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,309,GERMANY,"13,635","13,635","27,854",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,364,"HONG KONG, CHINA","26,290","26,290","27,503",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,396,ISRAEL,"1,800","1,800","1,881",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,400,ITALY,"2,400","2,400","2,613",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,412,JAPAN,"34,150","34,150","33,971",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,440,REPUBLIC OF KOREA,"10,930","10,930","7,927",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,444,KUWAIT,"1,800","1,800","1,639",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,484,MACAU,800,800,233,0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,500,MALAYSIA,"3,400","3,400","1,775",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,576,NETHERLANDS,"3,975","3,975","10,063",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,608,NORWAY,"1,000","1,000",472,0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,648,POLAND,"1,700","1,700","1,810",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,720,SINGAPORE,"5,500","5,500","6,904",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,732,"SOUTH AFRICA, REP. OF ","1,700","1,700","1,225",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,740,SPAIN,500,500,393,0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,748,SRI LANKA  (CEYLON),500,500,259,0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,764,SWEDEN,500,500,436,0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,768,SWITZERLAND,"2,200","2,200",926,0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,780,THAILAND,"6,400","6,400","5,590",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,836,"UNITED ARAB EMIRATES, N.E.S.","4,750","4,750","5,282",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,856,UK OF GREAT BRITAIN AND N. IRELAND,"18,300","18,300","26,071",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,860,UNITED STATES OF AMERICA,"215,160","215,160","198,471",0,0
01,0301199100,"- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Banggai cardinal fish 
(Pterapogon kauderni)",Gross kg,872,HAWAII,"2,000","2,000","1,200",0,0
01,0301199901,- Ornamental fish :  |  - - Other :  |  - - - Other :  |  - - - - Other  |  Sea horse (Hippocampus),Gross kg,484,MACAU,500,500,118,0,0
01,0301920000,- Other live fish :  |  - - Eels (Anguilla spp.),Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"58,500","58,500","127,800",0,0
01,0301920000,- Other live fish :  |  - - Eels (Anguilla spp.),Gross kg,168,TAIWAN (REP. OF CHINA),"13,000","13,000","50,000",0,0
01,0301920000,- Other live fish :  |  - - Eels (Anguilla spp.),Gross kg,364,"HONG KONG, CHINA",70,70,320,0,0
01,0301920000,- Other live fish :  |  - - Eels (Anguilla spp.),Gross kg,412,JAPAN,200,200,875,0,0
